Pleknaam	Historical Name	(GvH) Opmerking	(GvH) Wisselvorme	(GvH) Land	Province	(GvH) Kategorie	Description	latitude	longitude
Aan de Doorns				RSA	Western Cape	Nedersetting	Area	-33.6994444444444	19.49
Aberfeldy				RSA	Free State	Dorp	Town	-28.2297222222222	28.8577777777778
Aberfeldy				RSA	Free State	Dorp	Station	-28.2158333333333	28.8252777777778
Acornhoek				RSA	Mpumalanga	Dorp	Station	-24.595	31.0655555555556
Acornhoek				RSA	Mpumalanga	Dorp	Town	-24.5894444444444	31.0819444444444
Adelaide				RSA	Eastern Cape	Dorp	Town	-32.7063888888889	26.2955555555556
Adelaide				RSA	Eastern Cape	Dorp	Station	-32.7030555555556	26.2941666666667
Adendorp				RSA	Eastern Cape	Dorp	Urban Area	-32.2969444444444	24.5430555555556
Adendorp				RSA	Eastern Cape	Dorp	Station	-32.2938888888889	24.5597222222222
Agincourt				RSA	Mpumalanga	Plek	Town	-24.8275	31.2316666666667
Akani	Edinburgh	Voorheen Edinburgh		RSA	Mpumalanga	Nedersetting	Settlement	-24.676667	31.226667
Akasiapark				RSA	Western Cape	Voorstad	Station	-33.8944444444444	18.5291666666667
Alabama				RSA	North West	Gebied-Dorp	Town	-26.8716666666667	26.5930555555556
Albertinia				RSA	Western Cape	Dorp	Station	-34.2097222222222	21.5838888888889
Albertinia				RSA	Western Cape	Dorp	Urban Area	-34.2036111111111	21.5975
Alberton				RSA	Gauteng	Dorp	Urban Area	-26.2494444444444	28.1283333333333
Alberton				RSA	Gauteng	Dorp	Station	-26.2508333333333	28.1358333333333
Albertskroon				RSA	Gauteng	Voorstad	Town	-26.1613888888889	27.975
Albertville				RSA	Gauteng	Voorstad	Town	-26.1647222222222	27.9786111111111
Albertynshof				RSA	Northern Cape	Voorstad	Urban Area	-28.745	24.7555555555556
Aldam				RSA	Free State	Dorp	Town	-28.2886111111111	27.1613888888889
Alexandra				RSA	Gauteng	Township	Urban Area	-25.9727777777778	27.9875
Alexandra				RSA	Gauteng	Township	Urban Area	-26.1044444444444	28.0988888888889
Alexandria				RSA	Mpumalanga	Dorp	Town	-24.9583333333333	31.1633333333333
Alexandria				RSA	Eastern Cape	Dorp	Urban Area	-33.6530555555556	26.4094444444444
Alexandria				RSA	Eastern Cape	Dorp	Station	-33.6447222222222	26.4013888888889
Algiers				RSA	North West	Gebied-Dorp	Group of huts	-26.6172222222222	24.0630555555556
Algoapark				RSA	Eastern Cape	Voorstad	Urban Area	-33.8986111111111	25.5602777777778
Alice				RSA	Eastern Cape	Dorp	Station	-32.7911111111111	26.8344444444444
Alice				RSA	Eastern Cape	Dorp	Town	-32.7888888888889	26.8344444444444
